fecha y hora,elaboracion,lugar,semana,dia,tamaño,precio,acompañada,con comida?
13/07/2023 16:15:00,cafetera,abuela,1,domingo,taza,0,si,si
13/07/2023 17:00:00,cafetera,abuela,1,domingo,taza,0,si,si
13/07/2023 21:30:00,volturno,casa,1,domingo,taza,0,si,no
14/08/2023 9:45:00,volturno,casa,1,lunes,taza,0,no,no
14/08/2023 17:45:00,maquina,local,1,lunes,mediano,600,si,si
14/08/2023 23:35:00,volturno,casa,1,lunes,taza,0,no,no
15/08/2023 9:33:00,volturno,casa,1,martes,taza,0,no,no
15/08/2023 21:45:00,volturno,casa,1,martes,taza,0,si,no
16/08/2023 17:45:00,cafetera,abuela,1,miercoles,taza,0,si,si
16/08/2023 18:25:00,cafetera,abuela,1,miercoles,taza,0,si,si
16/08/2023 19:50:00,volturno,casa,1,miercoles,taza,0,no,no
17/08/2023 22:47:00,volturno,casa,1,jueves,taza,0,no,no
18/08/2023 15:45:00,a mano,local,1,viernes,mediano,"1.190,00",si,no
18/08/2023 22:25:00,volturno,casa,1,viernes,taza,0,no,no
19/08/2023 9:50:00,volturno,casa,1,sabado,taza,0,no,no
19/08/2023 17:55:00,cafetera,abuela,1,sabado,taza,0,si,si
19/08/2023 22:50:00,volturno,casa,1,sabado,taza,0,si,no
20/08/2023 0:30:00,volturno,casa,2,domingo,taza,0,no,no
20/08/2023 12:15:00,volturno,casa,2,domingo,taza,0,no,no
21/08/2023 17:00:00,maquina,local,2,lunes,chico,900,si,si
21/08/2023 19:15:00,volturno,casa,2,lunes,taza,0,no,no
23/08/2023 22:30:00,volturno,casa,2,miercoles,taza,0,no,no
24/08/2023 9:00:00,volturno,casa,2,jueves,taza,0,no,no
24/08/2023 21:54:00,volturno,casa,2,jueves,taza,0,no,no
25/08/2023 14:20:00,volturno,casa,2,viernes,taza,0,no,no
25/08/2023 23:10:00,volturno,casa,2,viernes,taza,0,no,no
26/08/2023 12:30:00,maquina,local,2,sabado,mediano,850,si,si
26/08/2023 15:30:00,maquina,local,2,sabado,mediano,900,si,si
26/08/2023 21:30:00,volturno,casa,2,sabado,taza,0,no,no
27/08/2023 9:40:00,volturno,casa,3,domingo,taza,0,no,si
27/08/2023 23:30:00,volturno,casa,3,domingo,taza,0,no,no
28/08/2023 15:30:00,volturno,casa,3,domingo,taza,0,no,no
29/08/2023 18:30:00,cafetera,abuela,3,martes,taza,0,si,si
29/08/2023 23:00:00,volturno,casa,3,martes,taza,0,no,no
30/08/2023 8:45:00,volturno,casa,3,miercoles,taza,0,no,no
31/08/2023 13:30:00,volturno,casa,3,jueves,taza,0,no,no
1/09/2023 14:15:00,volturno,casa,3,viernes,taza,0,no,no
1/09/2023 22:15:00,volturno,casa,3,viernes,taza,0,no,no
2/09/2023 9:45:00,volturno,casa,3,sabado,taza,0,si,no
2/09/2023 16:45:00,volturno,casa,3,sabado,taza,0,no,no
3/09/2023 10:45:00,maquina,amigo,4,domingo,taza,0,si,si
3/09/2023 22:15:00,volturno,casa,4,domingo,taza,0,no,no
4/09/2023 15:30:00,volturno,casa,4,lunes,taza,0,no,no
4/09/2023 22:30:00,volturno,casa,4,lunes,taza,0,no,no
5/09/2023 9:00:00,volturno,casa,4,martes,taza,0,no,no
5/09/2023 9:00:00,cafetera,abuela,4,martes,taza,0,si,si
6/09/2023 17:10:00,maquina,local,4,miercoles,grande,700,si,no
6/09/2023 21:40:00,volturno,casa,4,miercoles,taza,0,no,no
7/09/2023 8:40:00,volturno,casa,4,jueves,taza,0,no,si
8/09/2023 16:45:00,volturno,cris,4,viernes,taza,0,si,si
8/09/2023 19:15:00,volturno,casa,4,viernes,taza,0,no,no
8/09/2023 22:00:00,volturno,casa,4,viernes,taza,0,no,no
9/09/2023 9:45:00,volturno,casa,4,sabado,taza,0,no,no
9/09/2023 23:30:00,volturno,casa,4,sabado,taza,0,no,no
10/09/2023 8:45:00,volturno,casa,5,domingo,taza,0,no,si
10/09/2023 16:45:00,cafetera,abuela,5,domingo,taza,0,si,si
10/09/2023 23:00:00,volturno,casa,5,domingo,taza,0,no,no
11/09/2023 18:15:00,cafetera,abuela,5,lunes,taza,0,si,si
12/09/2023 8:40:00,volturno,casa,5,martes,taza,0,no,no
13/09/2023 17:10:00,maquina,local,5,miercoles,grande,720,si,no
